rr_cd,line_cd,station_cd,line_sort,station_sort,station_g_cd,r_type,rr_name,line_name,station_name,pref_cd,lon,lat,f_flag
11,11106,1110612,11106,1110612,1110612,1,JR,JR根室本線(滝川〜新得),山部,1,142.381522,43.244645,1
11,11106,1110613,11106,1110613,1110613,1,JR,JR根室本線(滝川〜新得),下金山,1,142.415402,43.197328,1
11,11106,1110614,11106,1110614,1110614,1,JR,JR根室本線(滝川〜新得),金山,1,142.416201,43.136115,1
11,11106,1110615,11106,1110615,1110615,1,JR,JR根室本線(滝川〜新得),東鹿越,1,142.523472,43.164011,1
11,11106,1110616,11106,1110616,1110616,1,JR,JR根室本線(滝川〜新得),幾寅,1,142.569474,43.161582,1
11,11106,1110617,11106,1110617,1110617,1,JR,JR根室本線(滝川〜新得),落合,1,142.669104,43.125055,1
11,11106,1110618,11106,1110618,1110618,1,JR,JR根室本線(滝川〜新得),新得,1,142.832432,43.082501,1
11,11107,1110701,11107,1110701,1110618,1,JR,JR根室本線(新得〜釧路),新得,1,142.832432,43.082501,1
11,11107,1110702,11107,1110702,1110702,1,JR,JR根室本線(新得〜釧路),十勝清水,1,142.879535,43.012892,1
11,11107,1110703,11107,1110703,1110703,1,JR,JR根室本線(新得〜釧路),羽帯,1,142.906646,42.957499,1
11,11107,1110704,11107,1110704,1110704,1,JR,JR根室本線(新得〜釧路),御影,1,142.935739,42.942418,1
11,11107,1110705,11107,1110705,1110705,1,JR,JR根室本線(新得〜釧路),芽室,1,143.047991,42.909846,1
11,11107,1110706,11107,1110706,1110706,1,JR,JR根室本線(新得〜釧路),大成,1,143.071241,42.918662,1
11,11107,1110707,11107,1110707,1110707,1,JR,JR根室本線(新得〜釧路),西帯広,1,143.126351,42.923941,1
11,11107,1110708,11107,1110708,1110708,1,JR,JR根室本線(新得〜釧路),柏林台,1,143.1645,42.928877,1
11,11107,1110709,11107,1110709,1110709,1,JR,JR根室本線(新得〜釧路),帯広,1,143.20195,42.917997,1
11,11107,1110710,11107,1110710,1110710,1,JR,JR根室本線(新得〜釧路),札内,1,143.256248,42.912697,1
11,11107,1110711,11107,1110711,1110711,1,JR,JR根室本線(新得〜釧路),稲士別,1,143.297528,42.903963,1
11,11107,1110712,11107,1110712,1110712,1,JR,JR根室本線(新得〜釧路),幕別,1,143.359293,42.90784,1
11,11107,1110713,11107,1110713,1110713,1,JR,JR根室本線(新得〜釧路),利別,1,143.424445,42.934706,1
11,11107,1110714,11107,1110714,1110714,1,JR,JR根室本線(新得〜釧路),池田,1,143.453033,42.922186,1
11,11107,1110715,11107,1110715,1110715,1,JR,JR根室本線(新得〜釧路),十弗,1,143.500797,42.855781,1
11,11107,1110716,11107,1110716,1110716,1,JR,JR根室本線(新得〜釧路),豊頃,1,143.538615,42.817548,1
11,11107,1110717,11107,1110717,1110717,1,JR,JR根室本線(新得〜釧路),新吉野,1,143.60826,42.778238,1
11,11107,1110718,11107,1110718,1110718,1,JR,JR根室本線(新得〜釧路),浦幌,1,143.651568,42.810849,1
11,11107,1110719,11107,1110719,1110719,1,JR,JR根室本線(新得〜釧路),上厚内,1,143.749788,42.831881,1
11,11107,1110720,11107,1110720,1110720,1,JR,JR根室本線(新得〜釧路),厚内,1,143.814389,42.809539,1
11,11107,1110721,11107,1110721,1110721,1,JR,JR根室本線(新得〜釧路),直別,1,143.863607,42.852205,1
11,11107,1110722,11107,1110722,1110722,1,JR,JR根室本線(新得〜釧路),尺別,1,143.904331,42.869163,1
11,11107,1110723,11107,1110723,1110723,1,JR,JR根室本線(新得〜釧路),音別,1,143.932442,42.888997,1
11,11107,1110724,11107,1110724,1110724,1,JR,JR根室本線(新得〜釧路),古瀬,1,144.008589,42.947893,1
11,11107,1110725,11107,1110725,1110725,1,JR,JR根室本線(新得〜釧路),白糠,1,144.076879,42.956161,1
11,11107,1110726,11107,1110726,1110726,1,JR,JR根室本線(新得〜釧路),西庶路,1,144.129826,42.976138,1
11,11107,1110727,11107,1110727,1110727,1,JR,JR根室本線(新得〜釧路),庶路,1,144.150018,42.983601,1
11,11107,1110728,11107,1110728,1110728,1,JR,JR根室本線(新得〜釧路),大楽毛,1,144.273879,43.009078,1
11,11107,1110729,11107,1110729,1110729,1,JR,JR根室本線(新得〜釧路),新大楽毛,1,144.295558,43.009423,1
11,11107,1110730,11107,1110730,1110730,1,JR,JR根室本線(新得〜釧路),新富士,1,144.350758,43.001605,1
11,11107,1110731,11107,1110731,1110731,1,JR,JR根室本線(新得〜釧路),釧路,1,144.381983,42.990584,1
11,11108,1110801,11108,1110801,1110731,1,JR,JR根室本線(花咲線)(釧路〜根室),釧路,1,144.381983,42.990584,1
11,11108,1110802,11108,1110802,1110802,1,JR,JR根室本線(花咲線)(釧路〜根室),東釧路,1,144.411307,42.995207,1
11,11108,1110803,11108,1110803,1110803,1,JR,JR根室本線(花咲線)(釧路〜根室),武佐,1,144.426681,42.991364,1
11,11108,1110804,11108,1110804,1110804,1,JR,JR根室本線(花咲線)(釧路〜根室),別保,1,144.469596,42.994384,1
11,11108,1110805,11108,1110805,1110805,1,JR,JR根室本線(花咲線)(釧路〜根室),上尾幌,1,144.61239,43.032893,1
11,11108,1110806,11108,1110806,1110806,1,JR,JR根室本線(花咲線)(釧路〜根室),尾幌,1,144.703758,43.018463,1
11,11108,1110807,11108,1110807,1110807,1,JR,JR根室本線(花咲線)(釧路〜根室),門静,1,144.782638,43.057581,1
